intent;question;answer;category;tags
cityhall_address;"Σε ποια οδό της πόλης βρίσκεται το Δημαρχείο;";Διεύθυνση Δημαρχείου: Κολιάτσου 32, 201 31 Κόρινθος.;Δήμος – Γενικά;διεύθυνση, δημαρχείο, τοποθεσία;
cityhall_phone;"Ποιο είναι το τηλέφωνο του Δημαρχείου;";Τηλέφωνα Δημαρχείου: 27413-61000 και 27413-61045.;Δήμος – Γενικά;τηλέφωνο, δημαρχείο, επικοινωνία;
cityhall_email;"Ποιο είναι το email του Δημαρχείου;";Email Δημαρχείου (Γραφείο Τύπου): grafeiotypou@korinthos.gr;Δήμος – Γενικά;email, δημαρχείο, επικοινωνία;
cityhall_social_media;"Έχει social media το Δημαρχείο;";Social Media Δήμου Κορινθίων: \nInstagram: instagram.com/dimoskorinthionofficial \nFacebook: facebook.com/korinthiondimos \nYouTube: youtube.com/@dimoskorinthion1522;Δήμος – Γενικά;social media, facebook, instagram, youtube;
cityhall_contact_link;"Πού μπορώ να βρω τα επίσημα στοιχεία επικοινωνίας του Δήμου;";Όλα τα επίσημα στοιχεία επικοινωνίας βρίσκονται στη σελίδα: https://korinthos.gr/epikoinwnia/;Δήμος – Γενικά;επικοινωνία, ιστοσελίδα, σύνδεσμος;
cityhall_callcenter_phone;"Ποιος είναι ο αριθμός του τηλεφωνικού κέντρου του Δήμου;";Τηλεφωνικό Κέντρο Δήμου Κορινθίων: 27413-61000 και 27413-61040.;Δήμος – Γενικά;τηλεφωνικό κέντρο, επικοινωνία, δήμος;
cityhall_callcenter_email;"Ποιο είναι το email του κέντρου του Δήμου στο οποίο μπορώ να απευθυνθώ;";Emails Κέντρου Δήμου: protokollo@korinthos.gr, mail@korinthos.gr;Δήμος – Γενικά;email, τηλεφωνικό κέντρο, δήμος;
mayor_phone;"Ποιο είναι το τηλέφωνο του Δημάρχου;";Γραμματεία Δημάρχου: 27413-61001, 27413-61041.;Δήμαρχος & Διοίκηση;δήμαρχος, τηλέφωνο, επικοινωνία;
mayor_email;"Ποιο είναι το email του Δημάρχου;";Email Δημάρχου: grafeiodimarxou@korinthos.gr;Δήμαρχος & Διοίκηση;δήμαρχος, email, επικοινωνία;
mayor_press_office;"Ποιο είναι το email του Γραφείου Τύπου του Δημάρχου;";Γραφείο Τύπου Δημάρχου: Τηλέφωνο 27413-61045, Email grafeiotypou@korinthos.gr;Δήμαρχος & Διοίκηση;γραφείο τύπου, δήμαρχος, email, τηλέφωνο;
kep_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση ΚΕΠ;";Σελίδα Διεύθυνσης ΚΕΠ (Κέντρου Εξυπηρέτησης Πολιτών).;https://korinthos.gr/dieythynseis/dieythinsh-kep/;ΚΕΠ;διεύθυνση, kep, πληροφορίες
admin_services_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Διοικητικών Υπηρεσιών;";Σελίδα Διεύθυνσης Διοικητικών Υπηρεσιών.;https://korinthos.gr/dieythynseis/dieythinsh-dioikhtikwn-yphresiwn/;Δήμαρχος & Διοίκηση;διεύθυνση, διοικητικές υπηρεσίες
admin_elected_body_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Αιρετών Οργάνων;";Τηλ.: 2741361003 • Email: e.deli@korinthos.gr;https://korinthos.gr/dieythynseis/dieythinsh-dioikhtikwn-yphresiwn/;Δήμαρχος & Διοίκηση;τμήμα, αιρετά όργανα, τηλέφωνο, email
local_dev_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Τοπικής Ανάπτυξης;";Σελίδα Διεύθυνσης Τοπικής Ανάπτυξης.;https://korinthos.gr/dieythynseis/dieythinsh-topikhs-anaptykshs/;Άδειες & Τέλη;διεύθυνση, τοπική ανάπτυξη
commerce_services_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Εμπορίου και Υπηρεσιών;";Τηλ.: 2741362841 • Email: emporio@korinthos.gr;https://korinthos.gr/dieythynseis/dieythinsh-topikhs-anaptykshs/;Άδειες & Τέλη;τμήμα, εμπόριο, τηλέφωνο, email
cleanliness_recycling_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Καθαριότητας και Ανακύκλωσης;";Σελίδα Διεύθυνσης Καθαριότητας & Ανακύκλωσης.;https://korinthos.gr/dieythynseis/dieythinsh-kathariothtas-anakyklwshs/;Τεχνικές Υπηρεσίες;διεύθυνση, καθαριότητα, ανακύκλωση
cleaning_dept_phone;"Ποιο είναι το τηλέφωνο του Τμήματος Καθαριότητας;";Τηλ.: 2741027004;https://korinthos.gr/dieythynseis/dieythinsh-kathariothtas-anakyklwshs/;Τεχνικές Υπηρεσίες;τμήμα, καθαριότητα, τηλέφωνο
edu_culture_sports_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Παιδείας, Πολιτισμού και Αθλητισμού;";Σελίδα Διεύθυνσης Παιδείας, Πολιτισμού & Αθλητισμού.;https://korinthos.gr/dieythynseis/dieythinsh-paideias-politismoy-athlitismou/;Παιδεία & Πολιτισμός;διεύθυνση, παιδεία, πολιτισμός, αθλητισμός
education_lifelong_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Παιδείας και Δια Βίου Μάθησης;";Τηλ.: 2741076353 • Email: a.reppa@korinthos.gr;https://korinthos.gr/dieythynseis/dieythinsh-paideias-politismoy-athlitismou/;Παιδεία & Πολιτισμός;τμήμα, παιδεία, email, τηλέφωνο
finance_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Οικονομικών Υπηρεσιών;";Σελίδα Διεύθυνσης Οικονομικών Υπηρεσιών.;https://korinthos.gr/dieythynseis/dieythinsh-oikonomikwn-yphresiwn/;Άδειες & Τέλη;διεύθυνση, οικονομικές υπηρεσίες
budget_accounting_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Προϋπολογισμού και Λογιστικής Παρακολούθησης;";Τηλ.: 2741361011 • Email: d.maneli@korinthos.gr;https://korinthos.gr/dieythynseis/dieythinsh-oikonomikwn-yphresiwn/;Άδειες & Τέλη;τμήμα, προϋπολογισμός, λογιστική, email
social_policy_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Κοινωνικής Πολιτικής;";Σελίδα Διεύθυνσης Κοινωνικής Πολιτικής.;https://korinthos.gr/dieythynseis/dieuthinsi-koinonikis-politikis/;Κοινωνικές Παροχές;διεύθυνση, κοινωνική πολιτική
social_protection_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Κοινωνικής Προστασίας;";Τηλ.: 2741362114 • Email: a.spiropoulou@korinthos.gr;https://korinthos.gr/dieythynseis/dieuthinsi-koinonikis-politikis/;Κοινωνικές Παροχές;τμήμα, κοινωνική προστασία, email, τηλέφωνο
tech_services_planning_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Τεχνικών Υπηρεσιών και Πολεοδομίας;";Σελίδα Διεύθυνσης Τεχνικών Υπηρεσιών & Πολεοδομίας.;https://korinthos.gr/dieythynseis/dieythhnsh-texnikwn-yphresiwn-kai-poleodomias/;Τεχνικές Υπηρεσίες;διεύθυνση, τεχνικές υπηρεσίες, πολεοδομία
tech_works_studies_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Τεχνικών Έργων και Μελετών;";Τηλ.: 2741362831 • Email: n.koyinis@korinthos.gr;https://korinthos.gr/dieythynseis/dieythhnsh-texnikwn-yphresiwn-kai-poleodomias/;Τεχνικές Υπηρεσίες;τμήμα, τεχνικά έργα, μελέτες, email
environment_qol_directorate_info;"Πού βρίσκω πληροφορίες για τη Διεύθυνση Περιβάλλοντος και Ποιότητας Ζωής;";Σελίδα Διεύθυνσης Περιβάλλοντος & Ποιότητας Ζωής.;https://korinthos.gr/dieythynseis/dieythhnsh-perivallontos-kai-poiotitas-zois/;Τεχνικές Υπηρεσίες;διεύθυνση, περιβάλλον, ποιότητα ζωής
environment_civil_protection_dept_contact;"Ποια είναι τα στοιχεία επικοινωνίας του Τμήματος Περιβάλλοντος και Πολιτικής Προστασίας;";Τηλ.: 2741362843 • Email: j.panteleon@korinthos.gr;https://korinthos.gr/dieythynseis/dieythhnsh-perivallontos-kai-poiotitas-zois/;Τεχνικές Υπηρεσίες;τμήμα, περιβάλλον, πολιτική προστασία, email
citizen_services_overview;"Ποιες είναι οι βασικές υπηρεσίες για τον πολίτη;";Οι βασικές υπηρεσίες για τους πολίτες του Δήμου Κορινθίων παρουσιάζονται στη σελίδα «Οδηγός Πολίτη».;https://korinthos.gr/odhgos-polith/vasikes-uphresies/;Δήμος – Γενικά;πολίτης, υπηρεσίες, εξυπηρέτηση
registry_overview;"Ποιες υπηρεσίες παρέχονται από το Δημοτολόγιο;";Στην κατηγορία «Δημοτολόγιο» θα βρείτε όλες τις υπηρεσίες που αφορούν το Γραφείο Δημοτολογίου, Ιθαγένειας και Μητρώου (Τμήμα Δημοτικής Κατάστασης).;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/;Δημοτολόγιο;δημοτολόγιο, υπηρεσίες, πολίτες
family_status_certificate_how;"Πώς εκδίδω Πιστοποιητικό Οικογενειακής Κατάστασης;";Απαιτείται αίτηση και επίδειξη ταυτότητας (όχι για ηλεκτρονική υποβολή). Εκδίδεται: 1) Ηλεκτρονικά μέσω Gov.gr, 2) Ηλεκτρονικά με αίτηση στον Δήμο Κορινθίων (με κωδικούς TaxisNet), 3) Αυτοπροσώπως σε: α) Γραφείο Δημοτολογίου, β) ΚΕΠ, γ) Κεντρικό Πρωτόκολλο Δήμου. Κόστος: Ατελώς. Χρόνος: Αυθημερόν.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/pistopoihtiko-oikogeneiakhs-katastashs/;Δημοτολόγιο;πιστοποιητικό, οικογενειακή κατάσταση, govgr, ΚΕΠ
birth_certificate_how;"Πώς εκδίδω Πιστοποιητικό Γέννησης;";Απαιτείται αίτηση και ταυτότητα (όχι για ηλεκτρονική υποβολή). Εκδίδεται: 1) Μέσω Gov.gr, 2) Ηλεκτρονική αίτηση στον Δήμο Κορινθίων (με κωδικούς TaxisNet), 3) Αυτοπροσώπως σε: α) Γραφείο Δημοτολογίου, β) ΚΕΠ, γ) Κεντρικό Πρωτόκολλο Δήμου. Κόστος: Ατελώς. Χρόνος: Αυθημερόν.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/pistopoihtiko-gennhshs/;Δημοτολόγιο;πιστοποιητικό, γέννηση, govgr, ΚΕΠ
locality_certificate_how;"Πώς εκδίδω Πιστοποιητικό Εντοπιότητας;";Απαιτείται αίτηση με επίδειξη ταυτότητας (όχι για ηλεκτρ. υποβολή). Έκδοση: 1) μέσω gov.gr, 2) ηλεκτρονική αίτηση στον Δήμο Κορινθίων (TaxisNet), 3) αυτοπροσώπως: α) Γραφείο Δημοτολογίου, β) ΚΕΠ, γ) Κεντρικό Πρωτόκολλο. Κόστος: ατελώς. Χρόνος: 1–2 ημέρες.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/pistopoihtiko-entopiothtas/;Δημοτολόγιο;πιστοποιητικό, εντοπιότητα, govgr, ΚΕΠ
metadimotefsi_how;"Πώς γίνεται η μεταδημότευση; Τι πρέπει να γνωρίζω;";Μεταφορά εκλογικών δικαιωμάτων στον Δήμο Κορινθίων. Υποβολή μέσω gov.gr (Αίτηση–ΥΔ) ή αυτοπροσώπως. Κόστος: ατελώς. Εκτίμηση: έως 10 εργάσιμες. Βασικά δικαιολογητικά ανά περίπτωση αναλυτικά στον σύνδεσμο.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/metadhmoteysh/;Δημοτολόγιο;μεταδημότευση, εκλογικά, govgr
metadimotefsi_due_years;"Μεταδημότευση λόγω διετούς κατοικίας: τι χρειάζομαι;";1) Αίτηση–ΥΔ μέσω gov.gr με το κείμενο διετούς μόνιμης κατοικίας (συμπληρωμένα πεδία: Επώνυμο, Όνομα, Πατέρας, Μητέρα, Κάτοικος, Οδός, Ημ. γέννησης), 2) Βεβαίωση μόνιμης κατοικίας, 3) Έγγραφο ταυτοπροσωπίας.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/metadhmoteysh/;Δημοτολόγιο;μεταδημότευση, διετής κατοικία, δικαιολογητικά
metadimotefsi_spouse_partner;"Μεταδημότευση συζύγων/συμβιούντων: τι χρειάζομαι;";1) Αίτηση–ΥΔ μέσω gov.gr με αίτημα εγγραφής στην οικογενειακή μερίδα συζύγου/συντρόφου (πλήρη στοιχεία), 2) Έγγραφο ταυτοπροσωπίας.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/metadhmoteysh/;Δημοτολόγιο;μεταδημότευση, σύζυγοι, συμβίωση
metadimotefsi_recover_origin;"Μεταδημότευση για ανάκτηση αρχικής δημοτικότητας: τι ισχύει;";Δικαίωμα άπαξ για επαναδημοτέυση στον Δήμο αρχικής δημοτικότητας (του ιδίου ή των γονέων). 1) Αίτηση–ΥΔ μέσω gov.gr με σχετικό κείμενο (πλήρη στοιχεία), 2) Έγγραφο ταυτοπροσωπίας. Αν προκύπτει από γονείς, δηλώνονται πλήρη στοιχεία γονέα.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/metadhmoteysh/;Δημοτολόγιο;μεταδημότευση, αρχική δημοτικότητα, δικαιολογητικά
metadimotefsi_candidates_regionals;"Μεταδημότευση υποψηφίων για περιφερειακές εκλογές: τι ισχύει;";Δύναται μεταδημότευση για υποψηφιότητα χωρίς προϋπόθεση διετούς κατοικίας. Αίτηση–ΥΔ μέσω gov.gr στον δήμο επιλογής, με ρητή δήλωση της περιφερειακής ενότητας/δήμου όπου θα είναι υποψήφιος. Για λοιπές περιπτώσεις ισχύουν και οι γενικοί λόγοι (διετής κατοικία, σύζυγοι/συμβίωση, ανάκτηση αρχικής δημοτικότητας).;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/metadhmoteysh/;Δημοτολόγιο;μεταδημότευση, περιφερειακές εκλογές, υποψηφιότητα
metadimotefsi_notes;"Μεταδημότευση: τι άλλο πρέπει να γνωρίζω;";Τα πιστοποιητικά και ληξιαρχικές πράξεις μπορούν να αναζητηθούν αυτεπάγγελτα εφόσον τα γεγονότα έχουν τελεστεί στην Ελλάδα (εξαιρείται το Ειδικό Ληξιαρχείο Αθηνών). Τρόποι κατάθεσης: αυτοπροσώπως (Γραφείο Δημοτολογίου/ΚΕΠ).;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/metadhmoteysh/;Δημοτολόγιο;αυτεπάγγελτη αναζήτηση, ληξιαρχικές πράξεις, ΚΕΠ
electoral_district_change;"Τι χρειάζεται για να κάνω αλλαγή εκλογικού διαμερίσματος;";Η διαδικασία αφορά δημότες που έχουν αλλάξει διεύθυνση κατοικίας. 1) Αίτηση–ΥΔ μέσω gov.gr με το σχετικό κείμενο και πλήρη στοιχεία (Επώνυμο, Όνομα, Πατέρας, Μητέρα, Οδός, Ημ. γέννησης), 2) Αποδεικτικό νέας διεύθυνσης (π.χ. λογαριασμός ΔΕΚΟ, εκκαθαριστικό). Κατάθεση: Γραφείο Δημοτολογίου. Κόστος: ατελώς. Χρόνος: αυθημερόν (οριστικοποίηση στην επόμενη εκλογική αναθεώρηση).;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/allagh-eklogikoy-diamerismatos/;Δημοτολόγιο;εκλογικό διαμέρισμα, αλλαγή, govgr
identity_certificate_children;"Πώς εκδίδω Πιστοποιητικό Ταυτοπροσωπίας για τέκνα έως 12 ετών;";1) Αίτηση γονέα με επίδειξη ταυτότητας, 2) Υπεύθυνη Δήλωση του αιτούντα γονέα, 3) Δύο φωτογραφίες του τέκνου. Έκδοση αυτοπροσώπως: α) Γραφείο Δημοτολογίου, β) ΚΕΠ. Κόστος: ατελώς. Χρόνος: αυθημερόν.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/pistopoihtiko-taytoproswpias/;Δημοτολόγιο;πιστοποιητικό, ταυτοπροσωπία, τέκνα, ΚΕΠ
relatives_certificate;"Πώς εκδίδω Πιστοποιητικό Πλησιέστερων Συγγενών;";Αφορά περιπτώσεις θανάτου για διευθέτηση περιουσιακών ή κληρονομικών θεμάτων. 1) Αίτηση με ταυτότητα/διαβατήριο/δίπλωμα, 2) Ληξιαρχική Πράξη Θανάτου (ζητείται αυτεπάγγελτα), 3) Υπεύθυνες Δηλώσεις μαρτύρων όπου απαιτείται. Έκδοση: 1) μέσω gov.gr (αν έχει εκδοθεί ήδη), 2) Αυτοπροσώπως (Γραφείο Δημοτολογίου ή ΚΕΠ). Κόστος: ατελώς. Χρόνος: έως 10 εργάσιμες.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/pistopoihtiko-plhsiersterwn-syggenwn/;Δημοτολόγιο;πιστοποιητικό, συγγενείς, θάνατος, govgr, ΚΕΠ
military_certificate;"Πώς εκδίδω Πιστοποιητικό Στρατολογίας για μειωμένη θητεία ή αναβολή;";Απαιτείται αίτηση με επίδειξη ταυτότητας του ενδιαφερόμενου ή γονέα. Έκδοση αυτοπροσώπως: 1) Γραφείο Δημοτολογίου ή 2) ΚΕΠ. Κόστος: ατελώς. Χρόνος: έως 10 εργάσιμες. Μπορεί να αναζητηθεί αυτεπάγγελτα από το Στρατολογικό Γραφείο προς το Τμήμα Δημοτολογίου.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/dhmotologio/pistopoihtiko-stratologias-gia-meiwmenh-thhteia-h-anavolh/;Δημοτολόγιο;στρατολογία, θητεία, αναβολή, ΚΕΠ
registry_office_overview;"Ποιες υπηρεσίες παρέχει το Ληξιαρχείο του Δήμου Κορινθίων;";Το Ληξιαρχείο διαχειρίζεται ληξιαρχικές πράξεις γέννησης, γάμου και θανάτου. Οι αιτήσεις υποβάλλονται μέσω της πλατφόρμας Intelligent City μετά από αυθεντικοποίηση στο gov.gr.;https://korinthos.gr/lhksiarxeio/;Ληξιαρχείο;ληξιαρχείο, γέννηση, γάμος, θάνατος
birth_registry_act;"Πώς εκδίδω Ληξιαρχική Πράξη Γέννησης;";Επιλέξτε την Κοινότητά σας, αυθεντικοποιηθείτε μέσω gov.gr (ΓΓΠΣ) και οδηγηθείτε στην πλατφόρμα Intelligent City για ηλεκτρονική αίτηση.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/lhksiarxeio/;Ληξιαρχείο;ληξιαρχείο, πράξη γέννησης, govgr
marriage_registry_act;"Πώς εκδίδω Ληξιαρχική Πράξη Γάμου;";Επιλέξτε την Κοινότητά σας, αυθεντικοποιηθείτε μέσω gov.gr (ΓΓΠΣ) και οδηγηθείτε στην πλατφόρμα Intelligent City για ηλεκτρονική αίτηση.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/lhksiarxeio/;Ληξιαρχείο;ληξιαρχείο, πράξη γάμου, govgr
death_registry_act;"Πώς εκδίδω Ληξιαρχική Πράξη Θανάτου;";Επιλέξτε την Κοινότητά σας, αυθεντικοποιηθείτε μέσω gov.gr (ΓΓΠΣ) και οδηγηθείτε στην πλατφόρμα Intelligent City για ηλεκτρονική αίτηση.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/lhksiarxeio/;Ληξιαρχείο;ληξιαρχείο, πράξη θανάτου, govgr
electoral_changes_address;"Πού μπορώ να κάνω αλλαγή διεύθυνσης στους εκλογικούς καταλόγους;";Οι αλλαγές διεύθυνσης γίνονται: 1) στο Τμήμα Εκλογικών Καταλόγων, 2) στα ΚΕΠ, 3) στις έξι Δημοτικές Κοινότητες. Απαιτείται ταυτότητα και αποδεικτικό κατοικίας (εκκαθαριστικό ή λογαριασμός ΔΕΚΟ).;https://korinthos.gr/odhgos-polith/vasikes-uphresies/eklogikoi-katalogoi/;Εκλογικοί Κατάλογοι;εκλογές, αλλαγή διεύθυνσης, ΚΕΠ
electoral_changes_district;"Πώς αλλάζω εκλογικό διαμέρισμα;";Η αλλαγή γίνεται στο Τμήμα Εκλογικών Καταλόγων, στα ΚΕΠ ή στις Δημοτικές Κοινότητες. Απαιτείται ταυτότητα και, αν υπάρχει αλλαγή διεύθυνσης, αποδεικτικό κατοικίας.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/eklogikoi-katalogoi/;Εκλογικοί Κατάλογοι;εκλογικό διαμέρισμα, αλλαγή, ΚΕΠ
electoral_eu_citizens;"Πώς εγγράφονται Ευρωπαίοι πολίτες στους ειδικούς εκλογικούς καταλόγους;";Οι εγγραφές ισχύουν για Δημοτικές Εκλογές και Ευρωεκλογές. Οι πολίτες Ε.Ε. προσέρχονται στον Δήμο με ταυτότητα ή διαβατήριο και συμπληρώνουν σχετική αίτηση.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/eklogikoi-katalogoi/;Εκλογικοί Κατάλογοι;ευρωπαίοι πολίτες, εκλογές, κατάλογοι
electoral_nonlocal_register;"Πώς εγγράφομαι στους ειδικούς καταλόγους ετεροδημοτών;";Η εγγραφή ισχύει για Βουλευτικές Εκλογές και Ευρωεκλογές. Γίνεται όλο το έτος: 1) στο Τμήμα Εκλογικών Καταλόγων, 2) στα ΚΕΠ. Απαιτείται ταυτότητα και αίτηση (ή εξουσιοδότηση). Ισχύει επ’ αόριστον.;https://korinthos.gr/odhgos-polith/vasikes-uphresies/eklogikoi-katalogoi/;Εκλογικοί Κατάλογοι;ετεροδημότες, εκλογές, εγγραφή, ΚΕΠ
electoral_nonlocal_deletion;"Πώς γίνεται διαγραφή από τους ειδικούς καταλόγους ετεροδημοτών;";Οι διαγραφές ισχύουν για Βουλευτικές Εκλογές και Ευρωεκλογές και γίνονται καθ’ όλη τη διάρκεια του έτους: 1) στο Τμήμα Εκλογικών Καταλόγων, 2) στα ΚΕΠ. Απαιτείται ταυτότητα και αίτηση (ή εξουσιοδότηση).;https://korinthos.gr/odhgos-polith/vasikes-uphresies/eklogikoi-katalogoi/;Εκλογικοί Κατάλογοι;ετεροδημότες, διαγραφή, εκλογές, ΚΕΠ
